職稱,職務型態,表訂 / 實際工時,一週總工時,加班頻率,業界工作經歷,薪資,時薪,參考時間
行政 ,全職,7.5 / 8,40,偶爾,2 年,"780,000 / 年",405 元,2023.03
經理 ,全職,8 / 8,40,偶爾,3 年,"1,200,000 / 年",622 元,2024.02
韌體設計工程師 中和,全職,8 / 8,40,幾乎不,10 年,"68,000 / 月",423 元,2023.10
副理 ,全職,7.5 / 8.5,40,經常,1 年,"1,050,000 / 年",547 元,2024.02
硬體研發工程師 ,全職,8 / 8,40,幾乎不,15 年,"1,600,000 / 年",830 元,2024.01
PM 中和,全職,7.5 / 7.5,40.5,偶爾,4 年,"800,000 / 年",407 元,2021.09
軟體設計工程師 ,全職,8 / 8,40,偶爾,1 年,"750,000 / 年",389 元,2019.04
軟體工程師 總部,全職,7.5 / 7.5,37.5,幾乎不,1 年,"64,300 / 月",427 元,2020.12
資深人資專員 ,全職,7.5 / 8,37.5,偶爾,-,-,,2019.04
